#{"t_start": 1696907060.4400942, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,5,439.678355
0.0,5,439.729804
0.0,5,439.802488
0.0,5,439.853489
0.0,5,439.894491
0.0,5,439.945489
0.0,5,439.98749
2.0,23,440.217934
0.0,5,440.279795
1.0,17,440.440266
0.0,5,440.505333
0.0,5,440.54727
0.0,5,440.597861
0.0,5,440.648877
2.0,23,440.832388
0.0,5,440.913079
2.0,23,441.156562
0.0,5,441.237024
1.0,17,441.418787
0.0,5,441.48872
0.0,5,441.55231
2.0,23,441.783131
0.0,5,441.835866
0.0,5,441.886878
0.0,5,441.963292
0.0,5,442.044728
0.0,5,442.098299
0.0,5,442.149565
0.0,5,442.210651
0.0,5,442.27032
0.0,5,442.368735
0.0,5,442.430701
0.0,5,442.501701
0.0,5,442.56325
2.0,23,442.804868
0.0,5,442.861868
0.0,5,442.902869
0.0,5,442.982941
0.0,5,443.034511
0.0,5,443.08521
0.0,5,443.17429
0.0,5,443.226069
2.0,23,443.412858
0.0,5,443.461817
0.0,5,443.510933
0.0,5,443.614921
0.0,5,443.677403
0.0,5,443.740418
0.0,5,443.80194
2.0,23,444.03227
0.0,5,444.133127
0.0,5,444.185569
2.0,23,444.441745
0.0,5,444.502301
1.0,17,444.665771
0.0,5,444.741591
0.0,5,444.803341
0.0,5,444.875343
0.0,5,444.926788
0.0,5,444.977788
2.0,23,445.269118
1.0,17,445.431357
0.0,5,445.492149
0.0,5,445.54396
0.0,5,445.593689
2.0,23,445.797883
1.0,17,446.020398
0.0,5,446.070398
0.0,5,446.114398
0.0,5,446.153055
0.0,5,446.229867
0.0,5,446.28131
0.0,5,446.34286
0.0,5,446.411235
2.0,23,446.612703
0.0,5,446.680953
2.0,23,446.912147
0.0,5,446.95322
0.0,5,447.003181
0.0,5,447.052254
2.0,23,447.352113
0.0,5,447.405325
1.0,17,447.534178
0.0,5,447.593178
0.0,5,447.644258
0.0,5,447.733253
0.0,5,447.809189
2.0,23,448.029244
1.0,17,448.180393
0.0,5,448.253503
0.0,5,448.317725
0.0,5,448.3713
0.0,5,448.4213
0.0,5,448.473156
2.0,23,448.699963
0.0,5,448.766947
0.0,5,448.819237
2.0,23,449.070614
0.0,5,449.132772
0.0,5,449.19307
0.0,5,449.281182
0.0,5,449.333991
0.0,5,449.398066
0.0,5,449.450706
2.0,23,449.647216
0.0,5,449.716203
2.0,23,449.937207
0.0,5,449.987208
0.0,5,450.038208
0.0,5,450.085811
0.0,5,450.157964
2.0,23,450.405472
0.0,5,450.457366
0.0,5,450.517367
0.0,5,450.56637
0.0,5,450.63181
0.0,5,450.68838
0.0,5,450.73138
0.0,5,450.772381
2.0,23,450.994438
0.0,5,451.060439
0.0,5,451.110241
0.0,5,451.152013
0.0,5,451.202534
0.0,5,451.251579
0.0,5,451.326718
0.0,5,451.399796
0.0,5,451.460917
0.0,5,451.522996
2.0,23,451.766425
0.0,5,451.816426
0.0,5,451.891266
2.0,23,452.091182
1.0,17,452.301187
0.0,5,452.35119
2.0,23,452.577365
0.0,5,452.628659
0.0,5,452.689662
0.0,5,452.750756
0.0,5,452.800826
0.0,5,452.864828
0.0,5,452.91674
0.0,5,452.978002
0.0,5,453.05851
0.0,5,453.128924
0.0,5,453.205775
0.0,5,453.258972
0.0,5,453.310973
0.0,5,453.375975
0.0,5,453.426859
0.0,5,453.499269
0.0,5,453.551875
0.0,5,453.603876
0.0,5,453.679943
0.0,5,453.721607
2.0,24,453.924712
0.0,5,453.965712
0.0,5,454.024059
1.0,17,454.194569
0.0,5,454.246571
0.0,5,454.330405
0.0,5,454.386214
0.0,5,454.438106
0.0,5,454.49018
2.0,23,454.702252
0.0,5,454.781088
0.0,5,454.832159
0.0,5,454.883728
0.0,5,454.926802
0.0,5,454.966802
0.0,5,455.023803
0.0,5,455.065772
0.0,5,455.129145
2.0,23,455.341438
0.0,5,455.383438
0.0,5,455.450439
0.0,5,455.49844
2.0,23,455.739604
1.0,17,455.903558
1.0,17,456.046561
0.0,5,456.109561
0.0,5,456.159561
2.0,23,456.401292
1.0,17,456.561371
0.0,5,456.60094
0.0,5,456.662964
0.0,5,456.737965
0.0,5,456.815303
0.0,5,456.87651
0.0,5,456.936099
0.0,5,457.018554
0.0,5,457.070555
0.0,5,457.130797
0.0,5,457.183567
2.0,23,457.407073
0.0,5,457.486136
0.0,5,457.568084
0.0,5,457.612083
0.0,5,457.655084
0.0,5,457.72335
2.0,23,457.983895
0.0,5,458.053895
0.0,5,458.107695
1.0,17,458.286261
0.0,5,458.327698
0.0,5,458.397793
0.0,5,458.450282
0.0,5,458.517759
0.0,5,458.5789
0.0,5,458.639119
0.0,5,458.71595
2.0,24,458.933497
1.0,17,459.07629
0.0,5,459.118291
0.0,5,459.158293
0.0,5,459.220292
0.0,5,459.263293
2.0,23,459.483088
0.0,5,459.525054
0.0,5,459.565058
0.0,5,459.631056
0.0,5,459.674127
2.0,23,459.893437
0.0,5,459.933521
0.0,5,459.981465
0.0,5,460.047534
0.0,5,460.099535
0.0,5,460.170554
0.0,5,460.221555
2.0,23,460.450565
0.0,5,460.530715
0.0,5,460.584716
0.0,5,460.637494
0.0,5,460.689553
0.0,5,460.74882
2.0,23,460.969102
0.0,5,461.036561
0.0,5,461.088636
0.0,5,461.146596
0.0,5,461.197665
2.0,23,461.451594
0.0,5,461.494373
0.0,5,461.535706
0.0,5,461.586707
1.0,17,461.74907
0.0,5,461.81208
0.0,5,461.864081
0.0,5,461.916029
0.0,5,461.983212
0.0,5,462.04285
0.0,5,462.108057
0.0,5,462.151058
0.0,5,462.193668
0.0,5,462.243507
0.0,5,462.302028
0.0,5,462.362027
0.0,5,462.419918
0.0,5,462.473531
0.0,5,462.526403
0.0,5,462.576082
0.0,5,462.638586
0.0,5,462.692205
0.0,5,462.743152
0.0,5,462.808156
0.0,5,462.848157
0.0,5,462.940329
0.0,5,462.983329
0.0,5,463.026405
0.0,5,463.067775
0.0,5,463.106843
0.0,5,463.166915
0.0,5,463.208985
0.0,5,463.259705
0.0,5,463.310496
0.0,5,463.378989
0.0,5,463.446513
0.0,5,463.497936
0.0,5,463.550004
0.0,5,463.630827
0.0,5,463.701375
0.0,5,463.776529
0.0,5,463.838403
0.0,5,463.900206
0.0,5,463.979464
0.0,5,464.057234
0.0,5,464.136587
2.0,23,464.401556
0.0,5,464.453557
0.0,5,464.507018
0.0,5,464.55601
0.0,5,464.640011
0.0,5,464.702493
0.0,5,464.766677
0.0,5,464.828528
0.0,5,464.879692
0.0,5,464.97481
0.0,5,465.05144
0.0,5,465.111763
0.0,5,465.173687
0.0,5,465.225124
0.0,5,465.279874
0.0,5,465.322874
0.0,5,465.365539
2.0,23,465.581847
1.0,17,465.745247
0.0,5,465.817589
0.0,5,465.91447
0.0,5,465.974063
0.0,5,466.03653
0.0,5,466.08682
0.0,5,466.156332
0.0,5,466.215146
0.0,5,466.259145
0.0,5,466.310432
0.0,5,466.360453
0.0,5,466.421523
0.0,5,466.463524
0.0,5,466.528526
0.0,5,466.581593
0.0,5,466.632271
0.0,5,466.706934
0.0,5,466.75908
2.0,23,466.964485
0.0,5,467.014292
1.0,17,467.204783
0.0,5,467.258785
0.0,5,467.30116
0.0,5,467.374233
0.0,5,467.43238
0.0,5,467.492381
0.0,5,467.575969
2.0,23,467.817025
0.0,5,467.89251
1.0,17,468.074194
0.0,5,468.132927
0.0,5,468.245038
0.0,5,468.305999
0.0,5,468.367989
0.0,5,468.42999
0.0,5,468.490554
0.0,5,468.604998
0.0,5,468.657317
0.0,5,468.709729
2.0,23,468.959475
0.0,5,469.017752
2.0,23,469.217581
1.0,17,469.420811
0.0,5,469.484982
1.0,17,469.624266
0.0,5,469.672269
0.0,5,469.762068
2.0,23,470.001367
0.0,5,470.064289
0.0,5,470.107356
0.0,5,470.147173
2.0,23,470.384131
0.0,5,470.426132
0.0,5,470.516878
0.0,5,470.569698
0.0,5,470.619769
0.0,5,470.67477
0.0,5,470.716741
0.0,5,470.766794
2.0,23,471.002537
0.0,5,471.072585
0.0,5,471.14411
0.0,5,471.196111
2.0,23,471.423267
0.0,5,471.474568
0.0,5,471.52418
0.0,5,471.637742
0.0,5,471.688742
0.0,5,471.741389
0.0,5,471.793449
0.0,5,471.842439
0.0,5,471.934374
0.0,5,471.987246
0.0,5,472.030248
0.0,5,472.080685
0.0,5,472.130351
0.0,5,472.200352
2.0,23,472.413785
0.0,5,472.457223
1.0,17,472.623673
0.0,5,472.673676
0.0,5,472.741895
0.0,5,472.792896
0.0,5,472.84497
0.0,5,472.897847
0.0,5,472.962918
0.0,5,473.037704
0.0,5,473.110277
0.0,5,473.163737
2.0,23,473.341349
0.0,5,473.398083
0.0,5,473.463084
0.0,5,473.530017
0.0,5,473.583076
0.0,5,473.635291
0.0,5,473.706291
2.0,23,473.920308
0.0,5,473.962746
0.0,5,474.00383
1.0,17,474.201851
1.0,17,474.349591
0.0,5,474.416437
0.0,5,474.469329
0.0,5,474.52889
0.0,5,474.582003
0.0,5,474.631612
2.0,23,474.836068
0.0,5,474.886068
0.0,5,474.937926
0.0,5,474.998139
0.0,5,475.072061
2.0,23,475.295959
0.0,5,475.342202
0.0,5,475.402329
0.0,5,475.464044
0.0,5,475.516736
0.0,5,475.590178
0.0,5,475.641179
0.0,5,475.725076
2.0,23,475.957171
0.0,5,476.015892
0.0,5,476.083711
0.0,5,476.12941
2.0,23,476.345167
0.0,5,476.387167
0.0,5,476.455671
0.0,5,476.518671
0.0,5,476.571671
0.0,5,476.622672
0.0,5,476.666745
0.0,5,476.733424
0.0,5,476.803424
0.0,5,476.856186
0.0,5,476.916187
0.0,5,476.959188
0.0,5,476.999189
0.0,5,477.076369
0.0,5,477.128932
0.0,5,477.189451
2.0,23,477.43576
0.0,5,477.494495
0.0,5,477.57811
0.0,5,477.63111
0.0,5,477.67511
2.0,23,477.929591
0.0,5,477.979744
0.0,5,478.037743
0.0,5,478.078743
0.0,5,478.121008
0.0,5,478.162009
0.0,5,478.219012
2.0,23,478.469473
0.0,5,478.530988
0.0,5,478.593719
0.0,5,478.655719
0.0,5,478.725723
0.0,5,478.813722
0.0,5,478.872722
0.0,5,478.933751
0.0,5,478.992754
0.0,5,479.058542
0.0,5,479.154992
0.0,5,479.218098
0.0,5,479.280272
0.0,5,479.333595
0.0,5,479.396666
0.0,5,479.452666
0.0,5,479.504667
0.0,5,479.556635
0.0,5,479.614557
0.0,5,479.664385
0.0,5,479.719455
0.0,5,479.761779
0.0,5,479.812387
0.0,5,479.863861
0.0,5,479.913931
2.0,23,480.173597
1.0,17,480.313067
0.0,5,480.356068
0.0,5,480.405069
0.0,5,480.445069
0.0,5,480.511463
0.0,5,480.553464
0.0,5,480.59592
0.0,5,480.638358
2.0,23,480.850872
0.0,5,480.920897
0.0,5,480.972898
2.0,23,481.210377
0.0,5,481.272277
0.0,5,481.322664
0.0,5,481.383731
0.0,5,481.436183
2.0,23,481.680023
0.0,5,481.720854
0.0,5,481.759856
0.0,5,481.827082
2.0,23,482.061488
0.0,5,482.113562
0.0,5,482.170562
0.0,5,482.242676
0.0,5,482.313882
2.0,23,482.522114
0.0,5,482.57016
0.0,5,482.620161
0.0,5,482.680164
0.0,5,482.761095
0.0,5,482.822934
0.0,5,482.886806
0.0,5,482.959771
0.0,5,483.027333
2.0,23,483.258256
0.0,5,483.308257
1.0,17,483.461406
0.0,5,483.519558
0.0,5,483.573629
0.0,5,483.65014
0.0,5,483.71314
0.0,5,483.770556
0.0,5,483.834836
0.0,5,483.875047
0.0,5,483.943324
0.0,5,483.9864
0.0,5,484.035101
0.0,5,484.086921
0.0,5,484.136147
0.0,5,484.227146
2.0,23,484.442337
0.0,5,484.503473
0.0,5,484.547474
0.0,5,484.58755
0.0,5,484.653531
0.0,5,484.705883
0.0,5,484.761883
0.0,5,484.811956
2.0,23,485.012473
0.0,5,485.086474
0.0,5,485.137915
0.0,5,485.211988
0.0,5,485.262016
2.0,23,485.458891
0.0,5,485.535417
0.0,5,485.58853
0.0,5,485.660673
0.0,5,485.734742
0.0,5,485.784743
0.0,5,485.852715
0.0,5,485.906171
0.0,5,485.957239
0.0,5,486.028241
0.0,5,486.084296
0.0,5,486.162725
2.0,23,486.529789
0.0,5,486.61438
0.0,5,486.676395
0.0,5,486.751158
0.0,5,486.83711
2.0,23,487.128225
0.0,5,487.184667
1.0,15,490.251062
0.0,3,490.287862
0.0,5,490.366765
2.0,23,490.634662
0.0,3,490.682777
0.0,3,490.712785
0.0,5,490.76286
0.0,5,490.838393
0.0,5,490.920342
0.0,3,490.960418
0.0,5,491.01556
0.0,5,491.076369
0.0,5,491.144443
0.0,5,491.198521
2.0,21,491.403556
0.0,5,491.466731
1.0,17,494.164416
0.0,5,494.255066
0.0,5,494.305714
0.0,5,494.35783
0.0,5,494.398829
0.0,5,494.460724
0.0,5,494.534238
0.0,5,494.597493
0.0,5,494.65114
2.0,23,494.875264
0.0,3,494.904587
0.0,5,494.961583
0.0,5,495.013584
2.0,23,495.302517
1.0,17,495.494177
0.0,5,495.553503
0.0,5,498.235148
0.0,5,498.284151
0.0,5,498.337227
0.0,5,498.40761
0.0,5,498.457678
0.0,5,498.55668
0.0,5,498.609103
2.0,21,498.765688
0.0,5,498.84383
1.0,17,499.008823
0.0,5,499.082447
0.0,5,499.128883
0.0,5,499.178884
0.0,5,499.235763
0.0,5,499.297948
0.0,5,499.366547
0.0,5,499.420205
0.0,5,499.472239
0.0,5,499.514603
0.0,5,499.562943
0.0,5,502.374393
0.0,5,502.426463
0.0,5,502.488178
0.0,3,502.518248
2.0,23,502.825449
0.0,5,502.882448
2.0,21,503.076145
0.0,3,503.135146
1.0,17,503.279097
0.0,5,503.342133
0.0,5,503.418348
0.0,5,503.483347
0.0,5,503.546313
0.0,5,503.620876
0.0,5,503.661878
0.0,5,503.723944
0.0,5,503.795793
0.0,5,503.857329
2.0,21,506.7366
0.0,5,506.808064
0.0,5,506.881637
0.0,5,506.93521
0.0,3,506.963211
0.0,5,507.014584
0.0,5,507.089831
0.0,5,507.160175
2.0,23,507.359721
0.0,5,507.409563
0.0,5,507.459105
1.0,17,507.689686
0.0,5,507.755306
0.0,5,507.797307
0.0,5,507.847307
2.0,21,510.72334
0.0,5,510.772701
2.0,23,510.961845
0.0,5,511.020591
0.0,5,511.079688
0.0,5,511.121689
0.0,3,511.164358
2.0,23,511.393443
1.0,17,511.548369
0.0,5,511.647271
0.0,5,511.71154
0.0,5,511.772542
0.0,5,511.851058
0.0,5,511.935462
0.0,5,511.99045
2.0,23,514.787009
0.0,5,514.84609
0.0,5,514.931067
0.0,5,514.984067
0.0,3,515.032514
0.0,5,515.084515
0.0,5,515.154896
0.0,5,515.23686
2.0,23,515.45248
0.0,5,515.510509
0.0,5,515.563512
0.0,5,515.624287
0.0,5,515.696199
0.0,5,515.750055
0.0,5,515.793793
0.0,5,515.862794
1.0,16,518.486634
2.0,23,518.749949
0.0,5,518.803134
0.0,4,518.949489
0.0,5,519.009991
0.0,5,519.055569
2.0,23,519.353345
1.0,17,519.53454
0.0,5,519.595225
1.0,17,519.806261
0.0,5,519.876976
0.0,5,519.985916
0.0,5,520.053209
0.0,5,520.1086
0.0,5,520.1516
0.0,5,520.192432
0.0,5,520.268263
0.0,5,523.116927
2.0,21,523.320841
1.0,16,523.473924
1.0,17,523.681314
2.0,23,523.922535
0.0,5,523.976536
0.0,5,524.032039
1.0,16,524.179795
0.0,5,524.263983
0.0,5,524.328797
2.0,21,527.293722
0.0,5,527.336171
0.0,5,527.387365
0.0,5,527.436366
2.0,23,527.785211
0.0,5,527.828198
0.0,5,527.868232
1.0,17,528.037621
0.0,3,528.065676
0.0,5,528.133674
0.0,5,528.175747
0.0,5,528.239819
0.0,5,528.295695
0.0,5,528.34247
0.0,5,528.404626
2.0,21,528.658657
0.0,3,531.586077
0.0,5,531.644114
1.0,17,531.838637
0.0,5,531.929026
0.0,5,531.998761
2.0,23,532.263452
0.0,5,532.329948
1.0,15,532.506812
0.0,5,532.63856
2.0,21,532.835475
0.0,5,532.885877
1.0,17,533.09154
0.0,5,535.681487
0.0,5,535.746749
0.0,5,535.800626
1.0,16,535.945723
0.0,5,535.984724
2.0,21,536.247971
0.0,5,536.3112
0.0,5,536.355162
0.0,5,536.407221
0.0,5,536.479333
0.0,5,536.556221
0.0,5,536.62628
0.0,5,536.697281
0.0,5,536.751157
0.0,5,536.812003
0.0,5,536.853857
0.0,5,536.918927
0.0,5,536.971781
2.0,23,539.896554
0.0,5,539.949555
0.0,5,540.0017
0.0,5,540.072698
0.0,5,540.172579
0.0,5,540.234752
0.0,5,540.316827
2.0,23,540.541951
0.0,5,540.605952
0.0,5,540.670405
2.0,21,540.862696
0.0,5,540.905781
0.0,5,540.953637
0.0,5,541.035272
0.0,5,541.099789
0.0,5,541.183342
2.0,21,544.007697
0.0,5,544.056832
0.0,5,544.14404
0.0,5,544.216498
0.0,5,544.288669
1.0,16,544.493988
2.0,23,544.736585
0.0,5,544.797586
0.0,5,544.849587
2.0,23,545.122426
0.0,5,545.175876
0.0,5,545.257725
0.0,5,545.329629
0.0,5,545.41063
2.0,21,548.616088
0.0,3,548.655802
0.0,5,548.714984
0.0,5,548.782983
2.0,21,548.999035
0.0,3,549.028035
0.0,5,549.084822
0.0,5,549.148826
0.0,5,549.216803
0.0,5,549.268876
2.0,23,549.510611
0.0,5,549.582988
0.0,5,549.640731
0.0,5,549.720731
0.0,5,549.775023
0.0,5,549.829501
0.0,5,549.881614
0.0,5,552.475881
1.0,8,552.712295
0.0,5,552.749924
0.0,5,552.796981
0.0,5,552.844698
0.0,5,552.881137
0.0,5,552.92836
0.0,5,552.983816
0.0,5,553.049173
2.0,23,553.316415
0.0,5,553.361759
2.0,23,553.590472
0.0,5,553.640955
0.0,5,553.691479
0.0,5,553.741294
0.0,5,553.789295
2.0,23,554.011526
0.0,5,554.048602
0.0,5,554.095497
0.0,5,554.145456
0.0,5,554.184459
0.0,5,554.242712
0.0,5,554.301718
0.0,5,554.376214
0.0,5,554.435946
0.0,5,554.502465
0.0,5,554.567865
0.0,5,554.611308
0.0,5,554.651295
2.0,23,554.834926
1.0,17,555.016805
0.0,5,555.080876
0.0,5,555.13247
0.0,5,555.184604
0.0,5,555.244883
0.0,5,555.285409
2.0,23,555.54341
0.0,5,555.58741
0.0,5,555.628482
0.0,5,555.670482
0.0,5,555.708482
0.0,5,555.775129
0.0,5,555.82725
2.0,23,556.066942
0.0,5,556.11892
0.0,5,556.168376
0.0,5,556.233881
0.0,5,556.284955
0.0,5,556.335872
0.0,5,556.379899
0.0,5,556.418748
0.0,5,556.475747
0.0,5,556.527116
0.0,5,556.579189
0.0,5,556.65163
0.0,5,556.702991
0.0,5,556.777303
0.0,5,556.830454
0.0,5,556.882455
0.0,5,556.944456
2.0,23,557.151082
0.0,5,557.215538
0.0,5,557.26763
0.0,5,557.32018
0.0,5,557.38125
0.0,5,557.431126
0.0,5,557.506496
0.0,5,557.558504
0.0,5,557.620581
0.0,5,557.70983
0.0,5,557.768937
0.0,5,557.839051
0.0,5,557.901051
0.0,5,557.963125
0.0,5,558.037527
0.0,5,558.098448
0.0,5,558.180375
2.0,23,558.39224
0.0,5,558.43424
0.0,5,558.476315
0.0,5,558.525715
0.0,5,558.598785
0.0,5,558.659453
0.0,5,558.712493
0.0,5,558.754493
0.0,5,558.794565
0.0,5,558.876566
0.0,5,558.926567
0.0,5,558.978938
0.0,5,559.030189
0.0,5,559.079695
0.0,5,559.15676
0.0,5,559.209007
0.0,5,559.282152
0.0,5,559.334176
0.0,5,559.384176
0.0,5,559.470177
0.0,5,559.521178
0.0,5,559.574179
0.0,5,559.625159
0.0,5,559.665162
0.0,5,559.74473
0.0,5,559.798446
0.0,5,559.851564
0.0,5,559.913262
0.0,5,559.964538
0.0,5,560.037995
0.0,5,560.109531
0.0,5,560.160532
0.0,5,560.213606
0.0,5,560.263134
0.0,5,560.33788
0.0,5,560.390393
2.0,23,560.589444
1.0,17,560.75398
0.0,5,560.812509
0.0,5,560.904509
0.0,5,560.956502
0.0,5,561.008388
0.0,5,561.060389
0.0,5,561.111199
0.0,5,561.197926
0.0,5,561.250532
0.0,5,561.303533
0.0,5,561.354607
0.0,5,561.412195
0.0,5,561.491984
0.0,5,561.543985
0.0,5,561.585738
0.0,5,561.627064
0.0,5,561.675067
0.0,5,561.747067
0.0,5,561.79923
0.0,5,561.866529
0.0,5,561.919061
0.0,5,561.968822
0.0,5,562.041994
0.0,5,562.110995
2.0,23,562.312316
0.0,5,562.361896
0.0,5,562.411259
0.0,5,562.48176
0.0,5,562.544417
0.0,5,562.605685
0.0,5,562.668313
0.0,5,562.728009
0.0,5,562.796007
0.0,5,562.861623
0.0,5,562.9231
0.0,5,562.976871
0.0,5,563.028036
0.0,5,563.099523
0.0,5,563.171207
0.0,5,563.23028
0.0,5,563.2844
0.0,5,563.34063
0.0,5,563.407247
0.0,5,563.466325
0.0,5,563.519579
0.0,5,563.562027
2.0,23,563.792141
2.0,23,564.045509
1.0,17,564.231019
0.0,5,564.305375
1.0,17,564.463849
0.0,5,564.502851
2.0,23,564.730892
0.0,5,564.792972
0.0,5,564.867183
1.0,17,564.98692
0.0,5,565.032992
0.0,5,565.102645
0.0,5,565.174477
2.0,23,565.452102
0.0,5,565.512424
0.0,5,565.564297
0.0,5,565.63702
0.0,5,565.689761
0.0,5,565.741915
0.0,5,565.797989
0.0,5,565.852854
2.0,23,566.092276
0.0,5,566.144716
1.0,17,566.323786
0.0,5,566.391817
0.0,5,566.434253
0.0,5,566.493254
0.0,5,566.535254
0.0,5,566.577255
0.0,5,566.636861
0.0,5,566.685793
0.0,5,566.752795
2.0,23,566.997874
0.0,5,567.049918
0.0,5,567.101463
0.0,5,567.142543
0.0,5,567.209433
0.0,5,567.26177
0.0,5,567.314398
0.0,5,567.378399
0.0,5,567.419401
0.0,5,567.4724
0.0,5,567.544992
0.0,5,567.606199
2.0,23,567.796564
0.0,5,567.844635
0.0,5,567.924636
0.0,5,567.974784
2.0,23,568.205613
0.0,5,568.248686
0.0,5,568.300687
0.0,5,568.366719
0.0,5,568.41972
0.0,5,568.488724
0.0,5,568.569723
0.0,5,568.626978
0.0,5,568.702265
0.0,5,568.754265
2.0,23,568.981597
0.0,5,569.043817
0.0,5,569.102565
2.0,23,569.389591
0.0,5,569.442543
0.0,5,569.493768
1.0,17,569.679687
0.0,5,569.739013
0.0,5,569.816641
0.0,5,569.879376
2.0,23,570.104711
0.0,5,570.147711
1.0,17,570.321308
0.0,5,570.397328
0.0,5,570.440328
0.0,5,570.481329
2.0,23,570.666331
0.0,5,570.722335
0.0,5,570.791478
0.0,5,570.866931
0.0,5,570.920932
0.0,5,570.973933
2.0,23,571.232754
0.0,5,571.311554
0.0,5,571.374053
0.0,5,571.42699
0.0,5,571.46999
2.0,23,571.710691
0.0,5,571.771342
0.0,5,571.813395
0.0,5,571.854359
0.0,5,571.904429
0.0,5,571.963878
0.0,5,572.042024
0.0,5,572.120034
0.0,5,572.194318
2.0,23,572.462426
0.0,5,572.513943
0.0,5,572.584508
0.0,5,572.636648
0.0,5,572.725487
0.0,5,572.786009
0.0,5,572.83638
0.0,5,572.902766
0.0,5,572.95542
2.0,23,573.159055
1.0,17,573.31554
0.0,5,573.364379
0.0,5,573.43604
2.0,23,573.682545
0.0,5,573.735544
0.0,5,573.786545
0.0,5,573.837023
0.0,5,573.921055
0.0,5,573.989184
0.0,5,574.04034
0.0,5,574.083512
0.0,5,574.122349
0.0,5,574.187476
0.0,5,574.233547
2.0,23,574.466915
1.0,17,574.614649
0.0,5,574.683651
0.0,5,574.743721
0.0,5,574.809964
0.0,5,574.862012
0.0,5,574.914081
0.0,5,574.96452
2.0,23,575.211439
0.0,5,575.268901
0.0,5,575.321636
0.0,5,575.365703
1.0,17,575.493705
0.0,5,575.583706
0.0,5,575.642352
0.0,5,575.723504
0.0,5,575.766505
2.0,23,575.946386
0.0,5,576.009386
0.0,5,576.060859
2.0,23,576.305978
0.0,5,576.35805
0.0,5,576.409111
0.0,5,576.47138
0.0,5,576.51392
0.0,5,576.554994
0.0,5,576.598053
0.0,5,576.645056
0.0,5,576.721761
0.0,5,576.783199
0.0,5,576.85956
0.0,5,576.914166
0.0,5,576.964071
0.0,5,577.041944
0.0,5,577.103991
0.0,5,577.187437
0.0,5,577.241095
2.0,23,577.459795
0.0,5,577.528802
0.0,5,577.581879
0.0,5,577.643307
0.0,5,577.697404
0.0,5,577.757469
0.0,5,577.835194
0.0,5,577.909751
2.0,23,578.124557
0.0,5,578.177996
0.0,5,578.237365
0.0,5,578.307437
0.0,5,578.367198
0.0,5,578.419198
0.0,5,578.460962
0.0,5,578.501964
0.0,5,578.567963
0.0,5,578.62004
0.0,5,578.680187
0.0,5,578.757804
2.0,23,578.968059
2.0,23,579.197693
0.0,5,579.268831
0.0,5,579.342993
0.0,5,579.395066
0.0,5,579.445825
0.0,5,579.499823
2.0,23,579.695825
1.0,17,579.880882
0.0,5,579.955376
0.0,5,580.014268
0.0,5,580.090781
0.0,5,580.144859
2.0,23,580.34399
1.0,17,580.482026
0.0,5,580.532978
0.0,5,580.597122
0.0,5,580.650518
0.0,5,580.702274
0.0,5,580.763347
0.0,5,580.814934
0.0,5,580.883994
2.0,23,581.116886
1.0,17,581.256835
0.0,5,581.297836
0.0,5,581.336836
0.0,5,581.398837
0.0,5,581.463762
0.0,5,581.535764
2.0,23,581.775339
1.0,17,581.931573
0.0,5,582.005641
0.0,5,582.058483
0.0,5,582.111558
0.0,5,582.173541
0.0,5,582.224544
0.0,5,582.295541
0.0,5,582.358543
0.0,5,582.437605
0.0,5,582.4975
0.0,5,582.550677
0.0,5,582.613275
2.0,23,582.875135
1.0,17,583.086239
1.0,17,583.281391
0.0,5,583.341686
0.0,5,583.427231
0.0,5,583.471232
0.0,5,583.513667
0.0,5,583.555667
2.0,23,583.804763
2.0,23,584.048837
1.0,17,584.22231
1.0,17,584.392479
0.0,5,584.444479
0.0,5,584.512623
0.0,5,584.590177
0.0,5,584.643096
2.0,23,584.82632
0.0,5,584.887575
0.0,5,584.957633
0.0,5,585.042171
0.0,5,585.103621
0.0,5,585.158274
0.0,5,585.210607
2.0,23,585.470279
2.0,23,585.731113
0.0,5,585.802769
1.0,17,585.955028
0.0,5,586.0061
0.0,5,586.065472
0.0,5,586.136174
0.0,5,586.188684
0.0,5,586.260917
0.0,5,586.313989
0.0,5,586.354989
0.0,5,586.40599
0.0,5,586.44799
0.0,5,586.514779
0.0,5,586.567974
0.0,5,586.609414
0.0,5,586.672488
0.0,5,586.714489
2.0,23,586.989328
0.0,5,587.051174
0.0,5,587.124778
0.0,5,587.189223
0.0,5,587.242694
0.0,5,587.295542
0.0,5,587.347616
0.0,5,587.413887
2.0,23,587.666227
0.0,5,587.72519
0.0,5,587.786779
0.0,5,587.840056
0.0,5,587.890131
0.0,5,587.968132
0.0,5,588.01914
2.0,23,588.248874
0.0,5,588.291875
1.0,17,588.447866
2.0,23,588.710257
0.0,5,588.762257
0.0,5,588.82279
0.0,5,588.875859
1.0,17,589.052127
0.0,5,589.13896
0.0,5,589.180959
0.0,5,589.231671
0.0,5,589.281667
0.0,5,589.32858
0.0,5,589.391012
0.0,5,589.460998
0.0,5,589.511704
0.0,5,589.563698
0.0,5,589.621495
0.0,5,589.694947
0.0,5,589.766434
0.0,5,589.816975
0.0,5,589.869352
0.0,5,589.910354
0.0,5,589.970353
0.0,5,590.013428
2.0,23,590.232519
0.0,5,590.285123
0.0,5,590.334959
0.0,5,590.408028
0.0,5,590.458919
0.0,5,590.50192
0.0,5,590.553576
0.0,5,590.625392
0.0,5,590.681393
0.0,5,590.723394
0.0,5,590.78583
